sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,2182138,1.3173534340785387,117,1,49.58509034846917,20.551014001570824,7.0,2458.681184865851,0,871,871,8.0,6.045983791455866,49.924956774003014,1656457,843,4.0,7.0,12.0,0.9993614188469034
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,2217322,1.3402915209404493,177,1,57.824271649732154,23.426076202323678,8.0,3343.6463918220174,0,1342,1342,9.0,7.074759117335045,74.50159286679448,1654359,1068,5.0,8.0,14.0,0.9994916713791333
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,1151921,1.4190151211850575,156,1,64.77409785597904,30.398983217045096,10.0,4195.683753055949,0,1218,1218,14.0,5.101530714136494,37.19318166250868,811776,878,6.0,10.0,20.0,0.9994862073142177
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540,9541155,1.3169423307057486,303,1,52.7393200940668,20.83255768757494,7.0,2781.4358839844376,0,1140,1140,9.0,7.056085525407955,70.36633288998001,7244931,1101,4.0,7.0,13.0,0.9994116154720493
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383,5380804,1.3473766764883597,167,1,56.010102668579506,23.765981427013912,8.0,3137.131600944817,0,1102,1102,10.0,6.1507283544000035,52.544741154424344,3993542,1041,5.0,8.0,15.0,0.9994587112217994
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846,1922040,1.325192966005578,113,1,49.705514206263324,21.24036428923059,7.0,2470.6381425090453,0,1130,1130,9.0,6.344386588489022,61.61546558658609,1450386,942,4.0,7.0,13.0,0.9993612067533225
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270,7525805,1.3109308616728301,191,1,48.68870149450058,20.135324782508953,7.0,2370.5896532205825,0,1252,1252,9.0,6.424322459407286,58.947507715843436,5740811,1074,4.0,7.0,13.0,0.9993584096556604
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000,9761953,1.2546400828719342,622,1,37.77452465028864,15.082624644295274,6.0,1426.914712555264,0,829,829,6.0,7.095546634554343,68.43459607358287,7780681,791,4.0,6.0,10.0,0.9990940616907564
ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997,1241760,1.2590428816362205,143,1,36.20267277742927,15.834726455325802,7.0,1310.6335162296182,0,666,666,7.0,6.7545918536032685,62.36282296102527,986274,599,4.0,7.0,11.0,0.9990596874058146
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835,1327626,1.3519200024439173,203,1,43.33555443858563,17.913513931841255,4.0,1877.9702784996189,0,671,671,8.0,5.250515038204336,37.88626195513947,982031,649,2.0,4.0,10.0,0.9991034162155025
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr11:69774695-87688378,1307908,1.370454157284298,76,1,50.17234554091646,19.342861513765218,5.0,2517.2642570771195,0,1002,1002,8.0,6.420349445028703,57.65062720207457,954362,849,3.0,5.0,11.0,0.9993116420684341
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr12:145739-7189876,651408,1.465428768753501,303,1,55.868244327867416,25.631038563117805,6.0,3121.2607242782897,0,944,944,16.0,4.742039303156053,33.3117632020994,444518,720,3.0,6.0,19.0,0.9992070919256041
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr14:19050000-107289540,5775882,1.3566083159721813,150,1,50.17942963933029,18.33031495979769,4.0,2517.975158928499,0,1001,1001,7.0,6.517213990751718,57.80475264236287,4257591,950,2.0,4.0,9.0,0.9993135110786496
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr16:46510000-88389383,3151216,1.3938801752161118,144,1,50.07914752145782,20.648576668294442,5.0,2507.9210164759347,0,823,823,9.0,5.3208729982803575,37.83770995517109,2260752,763,3.0,5.0,12.0,0.9992599217709164
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr1:206482221-223747846,1186756,1.367835540146793,242,1,44.576539727167756,18.96757901239833,5.0,1987.067894047765,0,732,732,9.0,5.336568702097555,41.24615295182126,867617,708,2.0,5.0,11.0,0.9991307817612565
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr4:75452279-190000000,6059202,1.2793293742094192,430,1,34.66261691917417,12.904288301633745,4.0,1201.4970116854192,0,810,810,5.0,6.579100113459337,58.89709071946327,4736234,702,2.0,4.0,7.0,0.9988823058022099
ATAC_JV_adipose/samples/AC1/MSC80/problems/chrX:37148256-49242997,700553,1.302561976248868,74,1,33.68874443310978,13.75278527707743,4.0,1134.9315014793851,0,462,462,6.0,5.511190959149427,39.383326971249566,537828,455,2.0,4.0,8.0,0.9988255486133102
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr10:18024675-38818835,1622966,1.494865035636192,176,1,62.126030780037134,24.402059510267616,6.0,3859.6437004821214,0,1017,1017,10.0,5.673803705563932,44.34298941752806,1085695,968,3.0,6.0,13.0,0.9993688695627954
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr11:69774695-87688378,1750438,1.5346682482945335,114,1,79.74380738772383,28.75722910262862,7.0,6359.074816690399,0,1473,1473,12.0,7.010471262900237,67.19652340371384,1140598,1335,4.0,7.0,16.0,0.9995522688407443
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr12:145739-7189876,937640,1.6125642564652023,271,1,84.34441749262452,34.983936986207134,8.0,7113.980762170144,0,1513,1513,19.0,5.863669774964456,50.4765267480611,581460,1203,4.0,8.0,23.0,0.9994950172815905
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr14:19050000-107289540,7488505,1.5253861484397215,298,1,81.61801036680349,27.697335012068027,6.0,6661.499616235642,0,1785,1785,11.0,7.389880105109927,75.28736164647461,4909253,1638,3.0,6.0,14.0,0.9995532130513523
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr16:46510000-88389383,4377258,1.5527020282548865,133,1,78.14694435531004,30.215264387093296,7.0,6106.944912071924,0,1348,1348,13.0,6.012040600338464,49.09154318862598,2819124,1299,4.0,7.0,17.0,0.9995206812988582
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr3:60000-66170270,5806818,1.505444346849486,221,1,71.02799736102759,25.928567076798714,6.0,5044.976409118142,0,1830,1830,10.0,6.720568561782282,66.9855066201449,3857213,1430,3.0,6.0,13.0,0.9994796572334251
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr4:75452279-190000000,6758649,1.4193364871582124,630,1,51.95767295197882,18.379407699295943,5.0,2699.5997785847917,0,1214,1214,8.0,6.947080915833637,67.33120895110382,4761838,1088,2.0,5.0,10.0,0.9992444618577033
ATAC_JV_adipose/samples/AC1/MSC83/problems/chrX:37148256-49242997,919637,1.4428167997615275,93,1,58.442566022504295,21.04512771595457,5.0,3415.533523294773,0,1001,1001,8.0,6.785716150726068,63.114595645675045,637391,930,3.0,5.0,11.0,0.9993873081409849
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr10:18024675-38818835,1551626,1.4106511651587001,220,1,63.92599326363681,26.067032020924835,5.0,4086.5326147425394,0,965,965,13.0,5.257014446703233,37.486167120908036,1099937,932,3.0,5.0,16.0,0.9994521424726696
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr11:69774695-87688378,1568786,1.437276625997825,105,1,79.6577767194253,29.236030233623453,6.0,6345.361391881815,0,1468,1468,14.0,6.538586648259894,57.936779757200334,1091500,1271,3.0,6.0,17.0,0.9996111707877982
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr12:145739-7189876,804596,1.5354504563818072,538,1,84.6576172680421,36.75669352345548,7.0,7166.9121615023005,0,1262,1262,22.0,4.795409513835495,31.03988176019499,524014,1061,4.0,7.0,26.0,0.9994759792154022
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr14:19050000-107289540,6880779,1.4313715292910125,533,1,80.4250297840447,28.301170720788562,5.0,6468.185415764477,0,1618,1618,11.0,6.88261914809032,66.48150113583588,4807124,1526,3.0,5.0,14.0,0.9995779108189626
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr16:46510000-88389383,3882421,1.4616360265881991,184,1,76.9331320503928,30.90994636356894,6.0,5918.706807083176,0,1174,1174,17.0,5.459113221055654,39.75028067715496,2656217,1132,3.0,6.0,20.0,0.9995642399447184
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr1:206482221-223747846,1353530,1.4147327536559082,196,1,62.51971321643651,26.16485461044798,5.0,3908.714540665466,0,951,951,13.0,5.101541268332758,35.73083237581146,956740,884,3.0,5.0,16.0,0.9994379810275418
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr3:60000-66170270,5356816,1.421631623141359,192,1,72.64776463088708,27.2688676478745,5.0,5277.697705864767,0,1627,1627,11.0,5.9653753937555445,50.30145840996665,3768077,1323,3.0,5.0,14.0,0.99955306438732
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr4:75452279-190000000,6527334,1.3207352924215687,539,1,52.162545519949624,18.90932556728808,4.0,2720.9311551208166,0,1141,1141,7.0,6.548320440568489,59.66600252251557,4942198,1041,2.0,4.0,9.0,0.9993624542581707
